ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601251342-8;Itauna;Vila Uberabinha;Tuim, 307;31;152;3;1;2;1995;Maravilhoso apartamento em Moema ;R$ 2.530,00;R$ 0,00;R$ 1.995.000,00;R$ 13.125,00;https://drive.google.com/drive/folders/1IMxSVk_F_ed-GUSHykOGqFplsXlqW6zz
601181054-85;Casa/sobrado;Vila Camilópolis - Santo André/SP;Menandro, 26;x;232;3;3;4;1986;Maravilhosa casa/sobrado na Vila Camilópolis - Santo André/SP;R$ 0,00;R$ 2.320,00;R$ 698.000,00;R$ 3.008,62;https://drive.google.com/drive/folders/1lRPO85V7dvW-x0fs5y-NDAHlTylEjuYs
601251016-105;Villaggio Panamby;Panamby;Itapaiuna, 1800;12;152;3;1;3;2001;Maravilhoso apartamento no Panamby;R$ 3.200,00;R$ 9.000,00;R$ 1.990.000,00;R$ 13.092,11;https://drive.google.com/drive/folders/1vrOIMOiH5Ml3_jprOloIhObUwck06Afb
601251165-184;Luxury Home Design;Vila Nova Conceição;Marcos Lopes, 272;63A;78;1;0;1;2014;Maravilhoso apartamento na Vila Nova Conceição ;R$ 1.743,00;R$ 5.053,00;R$ 2.350.000,00;R$ 30.128,21;https://drive.google.com/drive/folders/10f6DUdEsOgeCAsS7QO68W4UAq7-urQ65
601251009-60;Vista Laura ;Pinheiros;Amaro Cavalheiro, 333;103;130;2;2;2;2025;Maravilhoso apartamento em Pinheiros;R$ 1.408,00;R$ 1.000,00;R$ 3.190.000,00;R$ 24.538,46;https://drive.google.com/drive/folders/1dmGC3rlduWnJiajUM3i-tdXjw3u46SqL
601251018-126;Lorraine;Morro dos Ingleses ;Franceses, 479;61;220;3;2;1;1979;Maravilhoso apartamento no Morro dos Ingleses ;R$ 2.626,00;R$ 6.818,00;R$ 1.457.000,00;R$ 6.622,73;https://drive.google.com/drive/folders/1biYnOV7RPK3v7nxbAlhjKz6-HLVB_y4x
602011001-163;New York Club;Vila Romana ;Fábia, 610;111;223;4;4;4;2009;Maravilhoso apartamento na Vila Romana ;R$ 2.789,00;R$ 2.095,00;R$ 2.850.000,00;R$ 12.780,27;https://drive.google.com/drive/folders/1vdRckuizV6dpf0TDJYYqekdvUsm08n55
601331069-3;Misti Morumbi;Vila Suzana;Doutor Luiz Migliano, 190;114;65;2;1;1;2017;Maravilhoso apartamento na Vila Suzana;R$ 545,00;R$ 144,00;R$ 653.000,00;R$ 10.046,15;https://drive.google.com/drive/folders/1mVxkyGQ1lutDSH9WHpzbz-KN52qoAQCb
601251315-14;Casa;Vila Flórida - Guarulhos ;Porto Amazonas, 358;x;147;3;1;2;2014;Casa maravilhosa na Vila Flórida em Guarulhos ;R$ 0,00;R$ 1.137,00;R$ 599.000,00;R$ 4.074,83;https://drive.google.com/drive/folders/1q0Tzke0j0dgbfLB-HJcteiybow7StgHs
601251016-104;Casa;Jardim Leonor ;Doutor Rubens Maragliano, 172;x;352;5;3;4;1986;Maravilhosa casa no Jardim Leonor ;R$ 1.260,00;R$ 20.214,00;R$ 3.000.000,00;R$ 8.522,73;https://drive.google.com/drive/folders/1eeGttzs9aL1BhLgv76q9jrnhiqcUAsf_
601251030-14;Horiz Ibirapuera ;Jardim Paulista ;Manuel da Nóbrega, 1506;121;301;2;2;4;2023;Maravilhoso apartamento no Jardim Paulista ;R$ 3.119,00;R$ 41.583,00;R$ 15.950.000,00;R$ 52.990,03;https://drive.google.com/drive/folders/1WtAWxjaAECmL4K_GzZxL2GMmLD-wjqAv
601251165-165;Viva Benx ;Vila Olímpia ;Casa do Ator, 1100;1310;25;1;0;0;2021;Lindo apartamento na Vila Olímpia ;R$ 546,00;R$ 468,00;R$ 420.000,00;R$ 16.800,00;https://drive.google.com/drive/folders/1GUi5XUejn4NPDsmhXRxnhpnGfIvEz8Z6
601251154-8;Harpia;Vila Andrade;Dom Salomão Ferraz, 4;204;43;2;0;0;2014;Lindo apartamento na Vila Andrade;R$ 210,00;R$ 0,00;R$ 270.000,00;R$ 6.279,07;https://drive.google.com/drive/folders/1I2hth1RkkEIuAx1qwp3YuTcE-kL9HsWI
601251087-115;Liverpool;Vila Nova Conceição;Comendador Miguel Calfat, 183;11 B;54;2;0;1;1995;Ótimo apartamento na Vila Nova Conceição ;R$ 358,00;R$ 6.483,00;R$ 680.000,00;R$ 12.592,59;https://drive.google.com/drive/folders/1Fpp_Kvq-ALvGngRdZMg4Xbr-os4-LTKo
601251084-324;Tamarana;Paraíso ;Maria Figueiredo, 502;91;162;2;2;2;1978;Maravilhoso apartamento no Paraíso ;R$ 5.000,00;R$ 16.438,00;R$ 1.998.000,00;R$ 12.333,33;https://drive.google.com/drive/folders/1aSB_DRkhcNtCXnljfNfj8Nz1fH7FjmHn
601251086-381;Las Ventanas;Granja Julieta;Abilio Borin, 158;241;105;2;1;2;2014;Maravilhoso apartamento na Granja Julieta ;R$ 1.100,00;R$ 400,00;R$ 1.350.000,00;R$ 12.857,14;https://drive.google.com/drive/folders/18aIgcyP2WRPtx49vo8nnMytjmBA3koCk
601251086-382;Haus Mitre Brooklin;Brooklin;Professor Doutor José Marques da Cruz, 148;1109;63;2;1;0;2022;Maravilhoso apartamento no Brooklin ;R$ 910,00;R$ 155,00;R$ 990.000,00;R$ 15.714,29;https://drive.google.com/drive/folders/1khqMl5B51hFsQ75En6B1w6LZ2b_dtoID
601251084-325;Sport's Garden;Vila Mariana ;Rio Grande, 551;234 B;155;3;3;3;1998;Maravilhoso apartamento na Vila Mariana ;R$ 2.464,00;R$ 12.799,00;R$ 2.300.000,00;R$ 14.838,71;https://drive.google.com/drive/folders/1wkugX_k7BG8DSlfhk3N14QQ9bZfITZSD?usp=sharing
601251054-90;Via Condotti;Vila Olímpia;Casa do Ator, 764;82;115;3;1;2;1994;Maravilhoso apartamento na Vila Olímpia ;R$ 3.071,00;R$ 12.000,00;R$ 1.280.000,00;R$ 11.130,43;https://drive.google.com/drive/folders/1mKB_y1SYeSPJWzZk1nGN8ePvtmKWuw9d
601251016-113;Florence;Vila Andrade;José da Silva Ribeiro, 85;51;120;3;2;2;1994;Maravilhoso apartamento na Vila Andrade ;R$ 2.078,00;R$ 5.797,00;R$ 610.000,00;R$ 5.083,33;https://drive.google.com/drive/folders/1a7fqTNLG2Z3BrQY0TtWs2bolFUb_HWOW?usp=sharing
601251087-117;The Parker ;Aclimação ;Almeida Torres, 119;41;134;3;3;2;2013;Maravilhoso apartamento na Aclimação ;R$ 1.616,00;R$ 10.819,00;R$ 2.130.000,00;R$ 15.895,52;https://drive.google.com/drive/folders/1TAeAEUT5YtcyYecu9fvumNz3b8RkqQPg
601251165-179;Personality;Saúde ;Itaboraí, 424;81 E;84;3;1;2;2004;Maravilhoso apartamento na Saúde ;R$ 1.096,00;R$ 4.046,00;R$ 849.000,00;R$ 10.107,14;https://drive.google.com/drive/folders/1XR1xzhiNw6SmSty1ad456SQdKKwKOQnR
602011074-7;Villa Amalfi ;Paraíso do Morumbi;Leonardo Cerveira Varandas, 50;93 B7;236;3;2;3;2003;Maravilhoso apartamento no Paraíso do Morumbi ;R$ 3.040,00;R$ 12.575,00;R$ 1.890.000,00;R$ 8.008,47;https://drive.google.com/drive/folders/1irfl-70cx3_EWTBfPVBHaYHlMWFKuD8B
601251176-25;Acapulco;Chácara Inglesa;Jaci, 90;71 bloco B;59;1;1;1;1999;Maravilhoso apartamento na Chácara Inglesa ;R$ 889,00;R$ 627,00;R$ 580.000,00;R$ 9.830,51;https://drive.google.com/drive/folders/1MWO35EcxNGujaM_y2K_4NZCk6f1Kdwk1
601251038-37;Casa/sobrado;Chácara Monte Alegre ;Breves, 319;x;261;3;0;2;1975;Maravilhoso sobrado na Chácara Monte Alegre ;R$ 0,00;R$ 10.124,00;R$ 1.300.000,00;R$ 4.980,84;https://drive.google.com/drive/folders/1zK8XyQibrwOqgUgeOj3dyUsMtEwIQlrJ
601251084-231;VN Turiassu ;Perdizes ;Turiassu, 1473;512;17;1;0;0;2022;Lindo estúdio em Perdizes ;R$ 566,00;R$ 0,00;R$ 370.000,00;R$ 21.764,71;https://drive.google.com/drive/folders/1L1T7LdSgnov-fL6HZvxmMnC-HcH8-Pkr
601251084-230;VN Turiassu ;Perdizes ;Turiassu, 1473;510;17;1;0;0;2022;Lindo estúdio em Perdizes ;R$ 566,00;R$ 0,00;R$ 370.000,00;R$ 21.764,71;https://drive.google.com/drive/folders/1K6FTeSdLK83J4YF4ZFMhyL6xVQ4PPv7s
601331008-52;Maison Saint Paul;Vila Andrade ;Giovanni Gronchi, 4499;82;123;3;1;2;1983;Maravilhoso apartamento na Vila Andrade;R$ 1.790,79;R$ 3.214,78;R$ 499.990,00;R$ 4.064,96;https://drive.google.com/drive/folders/18OlHSJwmYyuRB3ngy0-AGyuy7DTY33P-
601251087-112;  Ile Saint Louis;Moema ;Arapanés, 1335;132;213;3;3;3;2026;Maravilhoso apartamento em Moema ;R$ 1,00;R$ 1,00;R$ 4.950.000,00;R$ 23.239,44;https://drive.google.com/drive/folders/1zGltyst1iVw6aCF6h-nv92-4BKhnGvf9
601181085-10;Villa da Vinci;Vila Guarani (Zona Sul);Leonardo da Vinci, 1520;54;72;1;1;1;1995;Ótimo apartamento na Vila Guarani (Zona Sul);R$ 1.319,00;R$ 220,00;R$ 435.000,00;R$ 6.041,67;https://drive.google.com/drive/folders/1W1nz5m0MJ8P8ItU7v8w4g6Yzo6E0lIch
601251257-50;Exalt Vila Marina ;Vila Clementino ;Borges Lagoa, 232;1201;50;1;1;0;2025;Ótimo apartamento na Vila Clementino ;R$ 11.706,00;R$ 1.395,00;R$ 835.000,00;R$ 16.700,00;https://drive.google.com/drive/folders/1ypOgwzuIu8EXAM5LSUCfBJ58C2XUsUHO
601251054-93;Venice ;Vila Nova Conceição;Ministro Jesuíno Cardoso, 81;82;180;3;3;4;2009;Maravilhoso apartamento na Vila Nova Conceição ;R$ 4.047,00;R$ 22.046,00;R$ 4.450.000,00;R$ 24.722,22;https://drive.google.com/drive/folders/1kS5cyMytTZws13HjkdBAH83pEi-lAdI2
601251054-92;Paço de Vila Nova ;Vila Nova Conceição;Bueno Brandão, 444;133 B ;95;2;1;1;1983;Maravilhoso apartamento na Vila Nova Conceição ;R$ 1.624,00;R$ 5.670,00;R$ 1.990.000,00;R$ 20.947,37;https://drive.google.com/drive/folders/1ls3NYm-RjsZUmaaUtZmJmPTOIWpOnjhj
601251165-144;Brasilia ;Consolação ;Angélica, 2121 ;106;58;1;0;0;1960;Ótimo apartamento na Consolação ;R$ 889,00;R$ 122,00;R$ 399.000,00;R$ 6.879,31;https://drive.google.com/drive/folders/1idq3aFC_0crp4GyIv-pre2zatXy2d_jZ
601181054-60;Pinheiros New Time ;Pinheiros ;Fradique Coutinho, 1443;82;127;2;1;2;1994;Ótimo apartamento em Pinheiros ;R$ 2.180,00;R$ 4.470,00;R$ 1.550.000,00;R$ 12.204,72;https://drive.google.com/drive/folders/1yX27KRHaYmJEBk8XSVUzFQriGguDQzvl
"601251084-157
";Eliane;Vila Mariana;José do Patrocínio, 645;11;100;3;1;0;1977;Venda imóvel na Vila Mariana - Rua José do Patrocínio 645, 100m2 com 3 quartos;R$ 1.000,00;R$ 150,00;R$ 655.000,00;R$ 6.550,00;https://drive.google.com/drive/folders/1O9QfZ6FFyrCxy57bjLZ5kHdk5ZgK-l3I?usp=drive_link
601251087-104;Indi 70 ;Moema;Indianópolis, 70;167;72;2;1;1;2022;Maravilhoso apartamento em Moema ;R$ 1.300,00;R$ 3.800,00;R$ 1.700.000,00;R$ 23.611,11;https://drive.google.com/drive/folders/1NebNgewbJ-l-BIXR1mkCiYgjthOlPAtG
601251018-122;Times Klabin;Chácara Klabin;Pedro Pomponazzi, 650;91;54;2;1;2;2017;Maravilhoso apartamento na Chácara Klabin ;R$ 1.270,00;R$ 4.676,00;R$ 830.000,00;R$ 15.370,37;https://drive.google.com/drive/folders/16SKSNg9tf0lAjSjVIojBuDkxeYFz0iR7
601251298-14;Sinésio ;Vila Madalena ;Ministro Sinésio Rocha, 837;168;37;1;0;1;2023;Maravilhoso apartamento na Vila Madalena ;R$ 649,00;R$ 0,00;R$ 645.000,00;R$ 17.432,43;https://drive.google.com/drive/folders/17R0b5lQ9bWzW-iTKKc2nNmPdQT3vqRLF
601181054-105;Cube Real Parque ;Real Parque ;Travessa Antônio Augusto Monteiro de Barros Neto, 60;casa 4;101;2;1;2;2019;Maravilhoso apartamento no Real Parque ;R$ 841,00;R$ 3.451,00;R$ 894.000,00;R$ 8.851,49;https://drive.google.com/drive/folders/1drazOSRYlJeTVhtQfZYdL7gwjbYEptHc
601251087-107;Villa Funchal Bay Apartaments ;Vila Olímpia ;São Tomé, 103;1904;209;3;3;2;2013;Maravilhoso apartamento na Vila Olímpia ;R$ 4.452,00;R$ 14.260,00;R$ 1.990.000,00;R$ 9.521,53;https://drive.google.com/drive/folders/1IxrfizGDqS4jR8ekGNs_IBNffVpqfuPq
